SYMBOL,2023-09-01,2023-01-03,2022-09-15,2023-09-15
21STCENMGM,18.75,22.55,25.6,20.0
360ONE,477.6,,,526.65
3IINFOLTD,32.8,41.3,51.5,38.4
3MINDIA,31151.35,21602.0,22873.45,30366.8
5PAISA,449.45,320.3,378.8,440.15
63MOONS,333.95,168.65,186.35,293.8
AAATECH,65.6,63.85,,61.3
AARTIDRUGS,569.6,449.9,456.95,584.4
AARTIIND,491.05,616.8,907.25,512.5
AARTIPHARM,389.0,,,469.4
AARTISURF,642.6,634.5,859.95,641.25
AARVEEDEN,23.2,25.35,26.55,25.15
AARVI,129.0,176.6,158.4,126.8
AAVAS,1627.25,1798.05,2211.65,1674.55
ABAN,48.15,49.4,56.6,46.35
ABB,4291.45,2689.4,3296.95,4379.4
ABBOTINDIA,22704.65,21680.85,17887.65,23351.15
ABCAPITAL,184.1,154.35,120.1,184.55
ABFRL,218.35,285.55,340.0,225.3
ABSLAMC,389.5,457.9,481.85,415.45
ABSLBANETF,44.81,43.52,41.38,46.56
ABSLNN50ET,46.13,43.67,46.46,47.46
ACC,2011.25,2442.7,2747.7,2026.85
ACCELYA,1594.55,1411.35,1172.7,1519.75
ACE,760.65,310.85,304.15,706.8
ACI,664.3,525.45,,612.3
ADANIENSOL,824.9,,,846.1
ADANIENT,2450.05,3830.95,3748.7,2540.05
ADANIGREEN,949.1,1892.95,2343.9,1006.45
ADANIPORTS,799.5,820.45,968.55,845.65
ADANIPOWER,330.25,294.75,,379.4
ADFFOODS,1083.9,757.95,711.75,239.3
ADORWELD,1197.05,849.55,948.7,1095.4
ADSL,133.55,94.9,116.0,138.0
ADVANIHOTR,89.6,81.95,84.4,88.55
ADVENZYMES,324.55,284.7,274.35,313.65
AEGISCHEM,368.45,344.35,293.8,329.8
AEROFLEX,165.0,,,156.45
AETHER,990.75,849.85,982.8,982.2
AFFLE,1077.85,1072.05,1317.45,1109.9
AGARIND,1046.45,598.5,634.75,901.15
AGI,732.25,329.9,347.25,712.35
AGROPHOS,38.9,44.2,41.6,37.8
