SYMBOL,2022-09-15,2023-01-03,2023-09-01,2023-09-15
21STCENMGM,25.6,22.55,18.75,20.0
360ONE,,,477.6,526.65
3IINFOLTD,51.5,41.3,32.8,38.4
3MINDIA,22873.45,21602.0,31151.35,30366.8
5PAISA,378.8,320.3,449.45,440.15
63MOONS,186.35,168.65,333.95,293.8
AAATECH,,63.85,65.6,61.3
AARTIDRUGS,456.95,449.9,569.6,584.4
AARTIIND,907.25,616.8,491.05,512.5
AARTIPHARM,,,389.0,469.4
AARTISURF,859.95,634.5,642.6,641.25
AARVEEDEN,26.55,25.35,23.2,25.15
AARVI,158.4,176.6,129.0,126.8
AAVAS,2211.65,1798.05,1627.25,1674.55
ABAN,56.6,49.4,48.15,46.35
ABB,3296.95,2689.4,4291.45,4379.4
ABBOTINDIA,17887.65,21680.85,22704.65,23351.15
ABCAPITAL,120.1,154.35,184.1,184.55
ABFRL,340.0,285.55,218.35,225.3
ABSLAMC,481.85,457.9,389.5,415.45
ABSLBANETF,41.38,43.52,44.81,46.56
ABSLNN50ET,46.46,43.67,46.13,47.46
ACC,2747.7,2442.7,2011.25,2026.85
ACCELYA,1172.7,1411.35,1594.55,1519.75
ACE,304.15,310.85,760.65,706.8
ACI,,525.45,664.3,612.3
ADANIENSOL,,,824.9,846.1
ADANIENT,3748.7,3830.95,2450.05,2540.05
ADANIGREEN,2343.9,1892.95,949.1,1006.45
ADANIPORTS,968.55,820.45,799.5,845.65
ADANIPOWER,,294.75,330.25,379.4
ADFFOODS,711.75,757.95,1083.9,239.3
ADORWELD,948.7,849.55,1197.05,1095.4
ADSL,116.0,94.9,133.55,138.0
ADVANIHOTR,84.4,81.95,89.6,88.55
ADVENZYMES,274.35,284.7,324.55,313.65
AEGISCHEM,293.8,344.35,368.45,329.8
AEROFLEX,,,165.0,156.45
AETHER,982.8,849.85,990.75,982.2
AFFLE,1317.45,1072.05,1077.85,1109.9
AGARIND,634.75,598.5,1046.45,901.15
AGI,347.25,329.9,732.25,712.35
AGROPHOS,41.6,44.2,38.9,37.8
AGSTRA,85.15,67.0,65.35,61.95
AHL,,190.0,275.9,312.15
